start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T01:13:00.000,57686.000000,57686.000000,57734.000000,57731.990000
2024-09-11T01:14:00.000,57702.000000,57686.000000,57702.000000,57686.000000
2024-09-11T01:15:00.000,57642.010000,57642.010000,57702.000000,57702.000000
2024-09-11T01:16:00.000,57628.000000,57576.000000,57642.000000,57642.000000
2024-09-11T01:17:00.000,57622.500000,57622.000000,57664.000000,57628.000000
2024-09-11T01:18:00.000,57626.000000,57600.000000,57626.000000,57622.510000
2024-09-11T01:19:00.000,57654.990000,57622.170000,57654.990000,57626.000000
2024-09-11T01:20:00.000,57641.490000,57634.390000,57666.000000,57654.990000
2024-09-11T01:21:00.000,57538.870000,57536.000000,57641.490000,57641.490000
2024-09-11T01:22:00.000,57434.000000,57414.000000,57544.000000,57538.870000
2024-09-11T01:23:00.000,57386.010000,57368.210000,57444.000000,57434.000000
2024-09-11T01:24:00.000,57445.990000,57386.000000,57448.000000,57386.000000
2024-09-11T01:25:00.000,57371.330000,57364.720000,57445.990000,57445.990000
2024-09-11T01:26:00.000,57362.990000,57331.770000,57381.100000,57371.340000
2024-09-11T01:27:00.000,57392.010000,57363.000000,57410.000000,57363.000000
2024-09-11T01:28:00.000,57406.000000,57392.000000,57418.000000,57392.000000
2024-09-11T01:29:00.000,57382.500000,57382.500000,57409.900000,57406.010000
2024-09-11T01:30:00.000,57322.000000,57322.000000,57397.490000,57382.500000
2024-09-11T01:31:00.000,57243.500000,57212.110000,57343.990000,57322.010000
2024-09-11T01:32:00.000,56991.110000,56970.000000,57250.000000,57243.500000
2024-09-11T01:33:00.000,56840.230000,56840.230000,57003.940000,56991.110000
2024-09-11T01:34:00.000,56798.570000,56731.110000,56863.980000,56840.230000
2024-09-11T01:35:00.000,56727.990000,56681.320000,56798.570000,56798.570000
2024-09-11T01:36:00.000,56899.160000,56714.000000,56909.980000,56727.990000
2024-09-11T01:37:00.000,56852.010000,56852.000000,56999.060000,56899.170000
2024-09-11T01:38:00.000,57063.000000,56852.010000,57066.810000,56852.010000
2024-09-11T01:39:00.000,57029.990000,56994.350000,57063.000000,57063.000000
2024-09-11T01:40:00.000,57044.000000,57020.000000,57128.000000,57029.990000
2024-09-11T01:41:00.000,57121.100000,57044.000000,57121.100000,57044.000000
2024-09-11T01:42:00.000,57153.990000,57121.090000,57191.100000,57121.100000
2024-09-11T01:43:00.000,57119.910000,57118.500000,57180.000000,57154.000000
2024-09-11T01:44:00.000,57108.010000,57108.000000,57151.100000,57119.920000
2024-09-11T01:45:00.000,57208.000000,57108.000000,57248.000000,57108.010000
2024-09-11T01:46:00.000,57210.000000,57176.000000,57270.120000,57208.000000
2024-09-11T01:47:00.000,56904.540000,56863.300000,57214.000000,57209.990000
2024-09-11T01:48:00.000,56973.400000,56896.000000,56997.990000,56904.550000
2024-09-11T01:49:00.000,56902.000000,56872.000000,56987.990000,56975.430000
2024-09-11T01:50:00.000,56956.000000,56876.000000,56956.000000,56901.990000
2024-09-11T01:51:00.000,56952.400000,56948.000000,57020.000000,56956.000000
2024-09-11T01:52:00.000,56960.300000,56896.010000,56977.910000,56952.400000
2024-09-11T01:53:00.000,56956.000000,56938.000000,56984.000000,56960.300000
2024-09-11T01:54:00.000,56913.540000,56913.530000,56980.850000,56956.000000
2024-09-11T01:55:00.000,56930.980000,56906.000000,56941.100000,56913.530000
2024-09-11T01:56:00.000,56916.610000,56916.610000,56969.540000,56930.990000
2024-09-11T01:57:00.000,56895.990000,56884.390000,56926.000000,56916.620000
2024-09-11T01:58:00.000,56880.010000,56874.000000,56912.000000,56895.990000
2024-09-11T01:59:00.000,56717.990000,56701.000000,56880.010000,56880.010000
2024-09-11T02:00:00.000,56812.010000,56696.930000,56832.000000,56717.990000
2024-09-11T02:01:00.000,56880.020000,56794.320000,56883.960000,56812.000000
2024-09-11T02:02:00.000,56839.900000,56802.000000,56904.350000,56880.010000
2024-09-11T02:03:00.000,56924.020000,56839.900000,56966.000000,56839.900000
2024-09-11T02:04:00.000,56932.010000,56892.000000,56936.000000,56924.010000
2024-09-11T02:05:00.000,56890.010000,56859.320000,56932.010000,56932.010000
2024-09-11T02:06:00.000,56973.990000,56890.000000,56974.000000,56890.000000
2024-09-11T02:07:00.000,56982.000000,56973.990000,57025.750000,56974.000000
2024-09-11T02:08:00.000,56961.990000,56928.010000,56980.000000,56980.000000
2024-09-11T02:09:00.000,56975.590000,56932.010000,56995.870000,56962.000000
2024-09-11T02:10:00.000,56952.000000,56952.000000,57016.000000,56975.600000
2024-09-11T02:11:00.000,56908.800000,56862.430000,56952.000000,56952.000000
2024-09-11T02:12:00.000,56946.000000,56890.000000,56956.000000,56908.800000
2024-09-11T02:13:00.000,56914.000000,56893.500000,56946.010000,56946.010000
2024-09-11T02:14:00.000,56962.840000,56911.990000,56965.670000,56913.990000
2024-09-11T02:15:00.000,57080.010000,56962.830000,57102.800000,56962.830000
2024-09-11T02:16:00.000,57023.670000,57016.000000,57080.010000,57080.010000
2024-09-11T02:17:00.000,57001.110000,57001.100000,57055.990000,57023.660000
2024-09-11T02:18:00.000,56982.020000,56982.020000,57016.000000,57001.100000
2024-09-11T02:19:00.000,57010.500000,56960.010000,57010.500000,56982.020000
2024-09-11T02:20:00.000,57036.000000,56996.000000,57065.990000,57010.500000
2024-09-11T02:21:00.000,56996.000000,56966.000000,57036.000000,57036.000000
2024-09-11T02:22:00.000,57006.940000,56994.010000,57032.640000,56996.000000
2024-09-11T02:23:00.000,57037.200000,57002.000000,57040.000000,57006.940000
2024-09-11T02:24:00.000,56996.950000,56993.450000,57043.500000,57037.190000
2024-09-11T02:25:00.000,56964.000000,56961.100000,56997.830000,56996.960000
2024-09-11T02:26:00.000,57024.000000,56964.000000,57024.000000,56964.000000
2024-09-11T02:27:00.000,56997.500000,56990.000000,57024.000000,57024.000000
